                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.62234,                 0.4265,                0.94851,                0.97905,                0.95358,                0.97724,                0.86955,                0.54669,                0.41075,                0.90398,              0.0012608,              0.0012608,              0.0012608
                     58,                0.60553,                0.40369,                0.95396,                0.98694,                0.96939,                0.98522,                0.87596,                0.55083,                0.37995,                0.90711,              0.0012476,              0.0012476,              0.0012476
                     59,                0.60904,                 0.4128,                0.95237,                0.97467,                0.93878,                0.98083,                0.87127,                0.52505,                0.41316,                0.88292,              0.0012344,              0.0012344,              0.0012344
                     60,                0.56904,                0.41187,                0.92145,                0.95634,                0.95918,                0.97897,                0.87782,                0.52008,                0.41371,                0.87969,              0.0012212,              0.0012212,              0.0012212
                     61,                 0.5615,                0.39013,                0.91813,                0.98939,                0.95175,                0.98761,                0.88759,                0.50495,                0.37569,                0.88768,               0.001208,               0.001208,               0.001208
                     62,                0.56434,                0.39175,                0.91462,                0.96772,                0.96939,                0.98641,                0.87181,                0.51555,                0.38848,                0.87827,              0.0011948,              0.0011948,              0.0011948
                     63,                0.58069,                0.41451,                0.93544,                0.95999,                0.97932,                0.98985,                0.87155,                0.54315,                0.36865,                0.88134,              0.0011816,              0.0011816,              0.0011816
                     64,                0.55422,                0.38771,                0.92505,                0.98946,                0.95793,                0.98639,                0.88338,                   0.48,                0.35496,                 0.8739,              0.0011684,              0.0011684,              0.0011684
                     65,                 0.5388,                0.38394,                0.90788,                0.98942,                0.95471,                0.98617,                 0.8916,                0.48065,                0.35949,                0.87793,              0.0011552,              0.0011552,              0.0011552
                     66,                0.56823,                0.40015,                0.93521,                0.97864,                0.97959,                0.98242,                0.87661,                 0.5189,                0.36978,                 0.8973,               0.001142,               0.001142,               0.001142
                     67,                0.55279,                0.38224,                0.91996,                0.97716,                0.96939,                0.98687,                0.87717,                0.51712,                0.35764,                0.89544,              0.0011288,              0.0011288,              0.0011288
                     68,                0.56405,                0.40085,                0.93503,                0.97792,                0.96939,                0.98544,                0.88183,                0.50741,                0.35653,                0.88681,              0.0011156,              0.0011156,              0.0011156
                     69,                0.54565,                0.38753,                 0.9277,                 0.9479,                0.96939,                0.98775,                0.89436,                0.48986,                0.34862,                0.88094,              0.0011024,              0.0011024,              0.0011024
                     70,                0.55994,                0.41064,                0.94958,                0.97881,                0.94898,                0.98476,                0.87673,                0.52408,                0.38543,                0.88458,              0.0010892,              0.0010892,              0.0010892
                     71,                0.55974,                0.38247,                0.92407,                 0.9773,                0.96939,                0.98595,                0.88908,                0.48777,                 0.3508,                0.87761,               0.001076,               0.001076,               0.001076
                     72,                0.53633,                0.36021,                0.90157,                0.96762,                0.97959,                0.98376,                0.89364,                0.48803,                0.36364,                0.87295,              0.0010628,              0.0010628,              0.0010628
                     73,                0.52855,                0.39578,                0.90485,                0.97814,                0.96939,                0.98465,                0.89609,                0.46311,                0.35582,                0.87144,              0.0010496,              0.0010496,              0.0010496
                     74,                0.55137,                0.38314,                0.93022,                0.97673,                0.97959,                0.98705,                0.89243,                0.50472,                0.34348,                 0.8866,              0.0010364,              0.0010364,              0.0010364
                     75,                0.51161,                0.35238,                0.91727,                0.97003,                0.95918,                0.98887,                0.89872,                0.48044,                0.34636,                0.87584,              0.0010232,              0.0010232,              0.0010232
                     76,                0.54688,                0.37993,                0.92955,                0.94991,                0.96756,                0.98324,                0.91724,                0.44308,                0.35752,                 0.8662,                0.00101,                0.00101,                0.00101
                     77,                0.53872,                 0.3762,                0.91956,                0.96707,                0.97959,                0.98717,                0.90497,                0.47334,                0.34279,                0.87327,              0.0009968,              0.0009968,              0.0009968
                     78,                 0.5351,                0.38728,                0.91776,                 0.9693,                0.96655,                0.98253,                 0.8749,                0.50222,                0.37013,                0.88389,              0.0009836,              0.0009836,              0.0009836
                     79,                0.51662,                0.35669,                0.89606,                0.96649,                0.96939,                  0.982,                0.89353,                0.47007,                0.36549,                 0.8665,              0.0009704,              0.0009704,              0.0009704
                     80,                0.50679,                0.34868,                0.90544,                 0.9844,                0.95918,                0.98763,                0.89187,                 0.4717,                0.34343,                0.86762,              0.0009572,              0.0009572,              0.0009572
                     81,                0.49337,                0.35313,                0.89543,                0.97768,                0.96939,                0.98645,                0.90519,                0.45225,                 0.3452,                0.86058,               0.000944,               0.000944,               0.000944
                     82,                0.52247,                0.35787,                0.90306,                0.97205,                0.95918,                0.98061,                0.88788,                0.49359,                0.36889,                0.87729,              0.0009308,              0.0009308,              0.0009308
                     83,                0.52497,                0.37402,                0.93017,                0.97951,                0.97549,                0.98382,                0.90861,                 0.4622,                0.33374,                0.86405,              0.0009176,              0.0009176,              0.0009176
                     84,                0.51361,                0.35082,                0.90302,                0.97569,                0.96939,                0.98562,                0.90289,                0.45988,                0.35481,                0.86352,              0.0009044,              0.0009044,              0.0009044
                     85,                0.50931,                0.35976,                0.89965,                0.97954,                0.97714,                0.98654,                0.90195,                0.47633,                0.34886,                0.86864,              0.0008912,              0.0008912,              0.0008912
                     86,                0.51033,                0.35698,                0.90289,                0.98956,                0.96742,                0.98836,                0.89932,                0.48689,                0.33587,                0.87244,               0.000878,               0.000878,               0.000878
                     87,                0.49318,                0.34425,                0.90266,                0.97936,                 0.9682,                0.98122,                0.88822,                0.49942,                0.37997,                0.88719,              0.0008648,              0.0008648,              0.0008648
                     88,                 0.4975,                0.33591,                0.90801,                0.96936,                0.96863,                0.97716,                0.89414,                 0.4563,                0.36532,                0.86969,              0.0008516,              0.0008516,              0.0008516
                     89,                0.49611,                0.35906,                0.90275,                0.96968,                0.97916,                0.98346,                0.90509,                0.44625,                 0.3446,                0.86281,              0.0008384,              0.0008384,              0.0008384
                     90,                0.47405,                0.33161,                0.90331,                0.96938,                0.96914,                0.98489,                0.91373,                0.44386,                0.32773,                0.85879,              0.0008252,              0.0008252,              0.0008252
                     91,                0.48303,                0.34005,                0.87992,                0.98718,                0.95918,                0.98308,                0.88988,                0.47332,                0.34234,                0.85481,               0.000812,               0.000812,               0.000812
                     92,                0.47787,                0.33231,                0.89191,                0.98956,                0.96693,                0.98398,                0.90256,                0.45348,                 0.3342,                0.86106,              0.0007988,              0.0007988,              0.0007988
                     93,                0.45344,                0.31914,                0.87878,                0.96946,                0.97186,                0.98621,                0.89737,                0.45037,                0.33198,                0.85128,              0.0007856,              0.0007856,              0.0007856
                     94,                0.48245,                0.33978,                0.89539,                0.98957,                0.96773,                0.98543,                0.89885,                0.46421,                0.34184,                0.86044,              0.0007724,              0.0007724,              0.0007724
                     95,                0.45155,                 0.3144,                0.89279,                0.97522,                0.96939,                0.98697,                0.90089,                 0.4712,                0.32895,                0.86786,              0.0007592,              0.0007592,              0.0007592
                     96,                0.46752,                0.32956,                0.87818,                0.97958,                0.97885,                0.98777,                0.90236,                0.46276,                0.33182,                0.86931,               0.000746,               0.000746,               0.000746
                     97,                0.47472,                0.32279,                0.89742,                0.96864,                0.97959,                0.98253,                0.90249,                0.48888,                0.33707,                0.89179,              0.0007328,              0.0007328,              0.0007328
                     98,                0.44495,                0.31572,                0.87623,                0.97342,                0.96939,                0.98252,                0.91584,                0.43578,                0.32815,                0.88421,              0.0007196,              0.0007196,              0.0007196
                     99,                0.46851,                0.32014,                0.89247,                0.97604,                0.97959,                0.98553,                0.90962,                0.43319,                0.32924,                 0.8783,              0.0007064,              0.0007064,              0.0007064
                    100,                0.46761,                0.33607,                0.89697,                0.97937,                0.96875,                0.98662,                0.89982,                0.46652,                0.34319,                0.88445,              0.0006932,              0.0006932,              0.0006932
                    101,                0.47125,                0.32672,                0.90054,                0.97955,                0.97747,                0.98863,                0.90928,                0.47242,                0.32055,                0.87339,                0.00068,                0.00068,                0.00068
                    102,                0.46558,                0.32014,                0.88795,                0.97938,                0.96915,                0.98578,                0.91041,                0.42951,                0.32117,                0.85264,              0.0006668,              0.0006668,              0.0006668
                    103,                0.45665,                0.33324,                0.88998,                0.96944,                 0.9711,                0.98727,                0.92211,                0.42305,                0.31537,                0.85184,              0.0006536,              0.0006536,              0.0006536
                    104,                0.44613,                0.33343,                0.88424,                0.98745,                0.94898,                0.98706,                0.89619,                0.46558,                0.32834,                 0.8646,              0.0006404,              0.0006404,              0.0006404
                    105,                0.45763,                0.33096,                0.89345,                 0.9876,                0.95918,                0.98601,                0.91903,                 0.4281,                0.31579,                0.85618,              0.0006272,              0.0006272,              0.0006272
                    106,                0.49184,                0.34444,                0.90226,                0.97935,                0.96805,                0.98603,                0.91217,                0.43283,                0.33044,                0.85855,               0.000614,               0.000614,               0.000614
